date,Encoded Products,Monterrey total $,Monterrey ctdad
2022-01-14,31,0.0,0.0
2022-01-14,8,0.0,0.0
2022-01-14,256,0.0,0.0
2022-01-15,11,70666.54,17.5
2022-01-15,6,0.0,0.0
2022-01-15,24,26706.225,3.5
2022-01-15,42,47353.565,3.5
2022-01-15,15,19423.845,3.5
2022-01-15,9,54833.765,7.0
2022-01-15,10,28827.015,3.5
2022-01-15,4,43659.42000000001,3.5
2022-01-15,3,51135.805,17.5
2022-01-15,2,37511.74,10.5
2022-01-15,23,53855.62,10.5
2022-01-15,28,24712.765,7.0
2022-01-15,57,0.0,0.0
2022-01-15,26,16086.175,3.5
2022-01-15,13,20329.645,3.5
2022-01-15,14,0.0,0.0
2022-01-15,18,29895.88,3.5
2022-01-15,7,57288.0,7.0
2022-01-15,27,89500.46,14.0
2022-01-15,30,0.0,0.0
2022-01-15,56,8764.175000000001,3.5
2022-01-15,38,11238.71,7.0
2022-01-15,81,8191.434999999999,3.5
2022-01-15,46,28125.65,3.5
2022-01-15,141,15088.395,3.5
2022-01-15,1,73579.48500000002,59.5
2022-01-15,17,7888.860000000001,3.5
2022-01-15,84,5397.84,3.5
2022-01-15,0,114705.99,52.5
2022-01-15,5,10316.39,3.5
2022-01-15,40,0.0,0.0
2022-01-15,37,18265.87,3.5
2022-01-15,20,26306.175,3.5
2022-01-15,12,71104.04,7.0
2022-01-15,178,26826.73,3.5
2022-01-15,102,21295.68,3.5
2022-01-15,101,0.0,0.0
2022-01-15,77,40703.88,3.5
2022-01-15,31,54022.64,3.5
2022-01-15,16,51279.48,3.5
2022-01-15,8,0.0,0.0
2022-01-15,153,196115.43,3.5
2022-01-15,53,0.0,0.0
2022-01-15,257,0.0,0.0
2022-01-15,68,47642.14,7.0
2022-01-15,112,0.0,0.0
2022-01-16,78,29862.42,3.5
2022-01-16,11,0.0,0.0
2022-01-16,32,20634.705,3.5
2022-01-16,24,0.0,0.0
2022-01-16,41,0.0,0.0
2022-01-16,15,0.0,0.0
2022-01-16,9,25796.575,3.5
2022-01-16,10,0.0,0.0
2022-01-16,4,37328.79500000001,3.5
2022-01-16,3,38989.09,14.0
2022-01-16,2,87481.31,24.5
2022-01-16,25,25417.105,7.0
